,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
6773,6773,2.0,0.5989881,"[(0, 0.028571637), (1, 0.3138914), (2, 0.5989881), (3, 0.029391004), (4, 0.029157847)]"
6774,6774,0.0,0.48736045,"[(0, 0.48736048), (1, 0.015577664), (2, 0.4661424), (3, 0.01547504), (4, 0.015444396)]"
6775,6775,3.0,0.49707198,"[(0, 0.02540772), (1, 0.025000218), (2, 0.42740047), (3, 0.49707195), (4, 0.025119632)]"
6776,6776,1.0,0.5588604,"[(0, 0.011129847), (1, 0.5588604), (2, 0.1394065), (3, 0.2792435), (4, 0.011359754)]"
6777,6777,2.0,0.5317128,"[(0, 0.36642158), (1, 0.03333363), (2, 0.5317128), (3, 0.03373341), (4, 0.034798596)]"
6778,6778,2.0,0.53474075,"[(0, 0.17931134), (1, 0.011215074), (2, 0.53474075), (3, 0.13906717), (4, 0.13566567)]"
6779,6779,1.0,0.81216174,"[(0, 0.16113572), (1, 0.81216174)]"
6780,6780,2.0,0.69058,"[(0, 0.11953286), (2, 0.69058), (3, 0.1776728)]"
6781,6781,1.0,0.42346206,"[(0, 0.17532223), (1, 0.42346206), (2, 0.16852666), (3, 0.2265664)]"
6782,6782,3.0,0.46303093,"[(0, 0.43077913), (3, 0.46303093), (4, 0.09346535)]"
6783,6783,2.0,0.672122,"[(0, 0.21129823), (1, 0.054404274), (2, 0.672122), (4, 0.053680513)]"
6784,6784,2.0,0.7891278,"[(0, 0.012636773), (1, 0.012538639), (2, 0.7891278), (3, 0.17298393), (4, 0.01271281)]"
6785,6785,2.0,0.44303077,"[(0, 0.15566377), (1, 0.10786722), (2, 0.4430308), (3, 0.21078113), (4, 0.0826571)]"
6786,6786,2.0,0.59646267,"[(0, 0.17443722), (1, 0.051948745), (2, 0.59646267), (3, 0.11540633), (4, 0.061745077)]"
6787,6787,1.0,0.827762,"[(0, 0.15327962), (1, 0.827762)]"
6788,6788,2.0,0.5146776,"[(0, 0.2678092), (1, 0.096798256), (2, 0.5146776), (3, 0.1059765), (4, 0.014738463)]"
6789,6789,3.0,0.39856583,"[(0, 0.2059357), (1, 0.18747458), (3, 0.39856583), (4, 0.19920407)]"
6790,6790,3.0,0.8393518,"[(0, 0.040135164), (1, 0.040178753), (2, 0.040292814), (3, 0.8393518), (4, 0.040041536)]"
6791,6791,4.0,0.3845044,"[(0, 0.10759469), (1, 0.22787122), (2, 0.2686359), (3, 0.011393811), (4, 0.3845044)]"
6792,6792,2.0,0.6288912,"[(0, 0.18736468), (1, 0.053150162), (2, 0.6288912), (3, 0.07413033), (4, 0.05646357)]"
6793,6793,3.0,0.62432116,"[(0, 0.04047807), (1, 0.040000197), (2, 0.04020435), (3, 0.62432116), (4, 0.2549962)]"
6794,6794,4.0,0.55855864,"[(0, 0.14282838), (1, 0.16707845), (2, 0.12492691), (4, 0.55855864)]"
6795,6795,3.0,0.3604887,"[(1, 0.36008126), (2, 0.26386854), (3, 0.3604887)]"
6796,6796,1.0,0.44776997,"[(0, 0.04576007), (1, 0.44776997), (2, 0.10402455), (3, 0.12729378), (4, 0.2751516)]"
