,Topic1,Topic2,Topic3,Topic4
0,아버지,코로나,치료,바지
1,얼굴,의료,시간,여자
2,남편,요양,퇴원,남자
3,의사,의료진,건강,친구
4,머리,확진,주사,아이
5,이야기,수술복,속옷,휠체어
6,표정,사용,출산,잠옷
7,자신,세탁,병동,사이즈
8,드라마,제작,수액,추천
9,차림,발견,선생,생각
10,생각,의원,필요,어머니
11,원피스,침대,생각,어린이
12,침대,가운,단추,아내
13,가운,시트,침대,천안
14,장면,관리,센터,할머니
15,영상,노인,의사,판매
16,기억,치료,입원실,의사
17,아들,남성,링거,마스크
18,눈물,치매,상태,마음
19,평생,소재,보호자,팬티
