,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,0.0,0.8168726,"[(0, 0.8168726), (5, 0.14359194)]"
1,1,7.0,0.5944902,"[(0, 0.017898412), (1, 0.2983089), (2, 0.017857185), (3, 0.017857144), (4, 0.017857144), (5, 0.017867744), (6, 0.017863244), (7, 0.5944902)]"
2,2,4.0,0.920401,"[(0, 0.011364478), (1, 0.0113679115), (2, 0.011370516), (3, 0.011374853), (4, 0.920401), (5, 0.01137357), (6, 0.011368596), (7, 0.011379099)]"
3,3,3.0,0.8562924,"[(1, 0.060359415), (2, 0.053568106), (3, 0.8562924)]"
4,4,5.0,0.6468535,"[(0, 0.29539165), (5, 0.6468535)]"
5,5,5.0,0.4364118,"[(0, 0.092977494), (3, 0.12772276), (4, 0.2093747), (5, 0.4364118), (6, 0.11263834)]"
6,6,7.0,0.43032244,"[(0, 0.28727457), (5, 0.13974538), (6, 0.10923838), (7, 0.4303224)]"
7,7,0.0,0.7706363,"[(0, 0.7706363), (1, 0.011376745), (2, 0.011369764), (3, 0.011376218), (4, 0.011368199), (5, 0.011378649), (6, 0.011371768), (7, 0.16112237)]"
8,8,7.0,0.37499896,"[(0, 0.041666668), (1, 0.041666668), (2, 0.041666668), (3, 0.041672032), (4, 0.041666906), (5, 0.37499538), (6, 0.041666668), (7, 0.37499896)]"
9,9,0.0,0.54534686,"[(0, 0.54534686), (1, 0.010446839), (2, 0.010423303), (3, 0.081043206), (4, 0.010416669), (5, 0.3214845), (6, 0.010416672), (7, 0.010421991)]"
10,10,7.0,0.8905589,"[(0, 0.015627991), (1, 0.0156272), (2, 0.01563636), (3, 0.015629442), (4, 0.015654733), (5, 0.015630126), (6, 0.015635278), (7, 0.89055884)]"
11,11,1.0,0.84148544,"[(1, 0.84148544), (6, 0.10490184)]"
12,12,7.0,0.9326752,"[(7, 0.9326751)]"
13,13,3.0,0.7585116,"[(3, 0.7585116), (7, 0.18790717)]"
14,14,1.0,0.67347574,"[(0, 0.2171492), (1, 0.67347574), (2, 0.07030568)]"
15,15,7.0,0.78125,"[(0, 0.031250004), (1, 0.031250004), (2, 0.031250004), (3, 0.031250004), (4, 0.031250004), (5, 0.031250004), (6, 0.031250004), (7, 0.78125)]"
16,16,6.0,0.5576152,"[(0, 0.3527252), (3, 0.05492661), (6, 0.5576152)]"
17,17,5.0,0.89054495,"[(0, 0.015625), (1, 0.01564774), (2, 0.015625002), (3, 0.015637277), (4, 0.015631996), (5, 0.89054495), (6, 0.015625), (7, 0.015663058)]"
18,18,1.0,0.30837452,"[(0, 0.015631575), (1, 0.30837452), (2, 0.015625006), (3, 0.015625004), (4, 0.18407302), (5, 0.015642427), (6, 0.15076151), (7, 0.29426697)]"
19,19,2.0,0.29317355,"[(0, 0.13192005), (1, 0.011376482), (2, 0.29317355), (3, 0.011368842), (4, 0.18408245), (5, 0.11139614), (6, 0.011381432), (7, 0.24530105)]"
20,20,1.0,0.71743095,"[(0, 0.23842865), (1, 0.71743095)]"
21,21,4.0,0.70832926,"[(0, 0.041666668), (1, 0.04166667), (2, 0.041666668), (3, 0.041666668), (4, 0.70832926), (5, 0.041666668), (6, 0.041669752), (7, 0.041667614)]"
22,22,3.0,0.70831263,"[(0, 0.041666664), (1, 0.041687395), (2, 0.041666664), (3, 0.70831263), (4, 0.041666664), (5, 0.041666664), (6, 0.041666664), (7, 0.041666664)]"
23,23,1.0,0.83999556,"[(0, 0.010425241), (1, 0.83999556), (2, 0.010421035), (3, 0.010420382), (4, 0.09744988), (5, 0.010432419), (6, 0.010430548), (7, 0.0104249315)]"
24,24,5.0,0.5133456,"[(0, 0.015647586), (1, 0.0156316), (2, 0.14061311), (3, 0.26785758), (4, 0.015641762), (5, 0.5133456), (6, 0.015632465), (7, 0.01563031)]"
25,25,7.0,0.5480897,"[(0, 0.010417417), (1, 0.010416666), (2, 0.38939512), (3, 0.010418866), (4, 0.010421759), (5, 0.010420396), (6, 0.010420102), (7, 0.5480897)]"
26,26,7.0,0.46082446,"[(0, 0.08153918), (3, 0.41854784), (7, 0.4608245)]"
27,27,1.0,0.50433934,"[(0, 0.013898104), (1, 0.50433934), (2, 0.013898579), (3, 0.124175705), (4, 0.15040837), (5, 0.013910956), (6, 0.01393021), (7, 0.16543877)]"
28,28,2.0,0.48371816,"[(2, 0.48371813), (3, 0.22756463), (7, 0.25579485)]"
29,29,7.0,0.659351,"[(0, 0.012500593), (1, 0.012501342), (2, 0.012500015), (3, 0.11339229), (4, 0.012505868), (5, 0.16474806), (6, 0.0125008095), (7, 0.659351)]"
30,30,4.0,0.6953847,"[(0, 0.013899101), (1, 0.013920296), (2, 0.01390359), (3, 0.013911107), (4, 0.6953847), (5, 0.013897498), (6, 0.013899558), (7, 0.22118422)]"
31,31,5.0,0.5973412,"[(0, 0.25963444), (3, 0.09488474), (5, 0.5973412)]"
32,32,3.0,0.46593475,"[(0, 0.011372065), (1, 0.21048988), (2, 0.011363638), (3, 0.46593475), (4, 0.011363638), (5, 0.2666812), (6, 0.011395466), (7, 0.011399356)]"
33,33,3.0,0.31233898,"[(0, 0.29703993), (1, 0.25623563), (3, 0.31233898), (6, 0.11512483)]"
34,34,6.0,0.96349216,"[(6, 0.96349216)]"
35,35,3.0,0.5587619,"[(1, 0.15480529), (3, 0.5587619), (4, 0.24471678)]"
36,36,0.0,0.38922495,"[(0, 0.38922495), (1, 0.33050615), (2, 0.20210537), (3, 0.015628107), (4, 0.015636398), (5, 0.015634505), (6, 0.015632628), (7, 0.015631935)]"
37,37,6.0,0.96190834,"[(6, 0.96190834)]"
38,38,5.0,0.6616822,"[(0, 0.011365754), (1, 0.19006401), (2, 0.09139958), (3, 0.01136915), (4, 0.011373773), (5, 0.6616822), (6, 0.011377459), (7, 0.01136805)]"
39,39,1.0,0.68036056,"[(0, 0.06929785), (1, 0.68036056), (5, 0.2205528)]"
40,40,1.0,0.6765121,"[(0, 0.013903209), (1, 0.6765121), (2, 0.013898535), (3, 0.24011557), (4, 0.013892599), (5, 0.013900141), (6, 0.013888892), (7, 0.013888889)]"
41,41,0.0,0.61514986,"[(0, 0.61514986), (1, 0.013896821), (2, 0.013888889), (3, 0.01391484), (4, 0.013898883), (5, 0.013909217), (6, 0.013895657), (7, 0.3014458)]"
42,42,6.0,0.30631405,"[(0, 0.03125), (1, 0.03125), (2, 0.031254992), (3, 0.26111948), (4, 0.031250037), (5, 0.03125), (6, 0.30631405), (7, 0.27631143)]"
