,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
0,건강,수술복,치료,반티,요양,화장실,아빠,휠체어,사진,아이
1,속옷,사복,의료,사이즈,할머니,기저귀,검사,서울,할로윈,바지
2,검진,친구,세탁,유니폼,노인,손가락,링거,링거,잠옷,혼자
3,아기,남자,단추,구매,멸망,커버,주사,마스크,컨셉,남편
4,정신,여자,시트,가격,의료진,한방,간호사,소독,의상,붕대
5,원피스,패션,디자인,할아버지,대학,방송,출산,슬리퍼,보험,머리
6,바지,스타,의원,추천,치료,회복,제왕,차림,진술,가슴
7,졸업,의상,치매,가운,방사선,특별,절개,중환자실,마사지,진료
8,준비,광주,관리,대회,신발,간호,후기,문제,외출,다리
9,출산,놀이,코로나,원단,요양원,폐렴,의사,분당,기록,바늘
10,사람,가운,기능,세트,얼굴,불안,환복,회장,자동차,어린이
11,소변,자복,물리,체육,세브,상황,시간,산후조리원,제작,상품
12,조리,모습,재활,주문,코로나,드라마,치료,서울대,응급,카페
13,내복,의사,용품,죄수복,주머니,공연,마취,카드,코스프레,셔츠
14,수면,그램,전문,개인,란스,동안,남편,소아,동물,병문안
15,병동,탈출,골절,만족,연구,호텔,속옷,구속,증거,냄새
16,안전,눈물,식사,핑크,상태,무릎,아내,팔찌,한복,사이
17,양말,실습,내시경,특이,강남,정신,준비,근무복,자료,걱정
18,해몽,직업,기관,원피스,위화감,여행,보호자,병동,커플,부분
19,산모,얼굴,가운,가을,관계,고통,생활,코트,의식,소지품
