,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,1.0,0.7899188,"[(0, 0.076044865), (1, 0.7899188), (5, 0.11123071)]"
1,1,1.0,0.47886398,"[(0, 0.117736176), (1, 0.47886395), (2, 0.016908566), (3, 0.016787594), (4, 0.25130302), (5, 0.11840069)]"
2,2,5.0,0.4959424,"[(0, 0.1995669), (1, 0.15573265), (2, 0.12638457), (3, 0.0111645125), (4, 0.011208984), (5, 0.49594238)]"
3,3,4.0,0.92360336,"[(0, 0.05059361), (4, 0.92360336)]"
4,4,0.0,0.6872585,"[(0, 0.6872585), (1, 0.18998328), (2, 0.011191493), (3, 0.011147132), (4, 0.08915782), (5, 0.011261769)]"
5,5,0.0,0.365867,"[(0, 0.365867), (1, 0.15423967), (2, 0.20073055), (4, 0.075019956), (5, 0.1953556)]"
6,6,1.0,0.6269061,"[(0, 0.2654574), (1, 0.6269061), (3, 0.07815688)]"
7,7,1.0,0.85402465,"[(0, 0.012840821), (1, 0.85402465), (2, 0.09441083), (3, 0.012867519), (4, 0.013008921), (5, 0.012847264)]"
8,8,2.0,0.38889638,"[(0, 0.055555616), (1, 0.3888811), (2, 0.38889638), (3, 0.05555566), (4, 0.055555638), (5, 0.05555564)]"
9,9,1.0,0.64309216,"[(0, 0.011111205), (1, 0.64309216), (2, 0.3123753), (3, 0.011190018), (4, 0.011112645), (5, 0.011118669)]"
10,10,4.0,0.9304302,"[(0, 0.013905081), (1, 0.013901695), (2, 0.013900813), (3, 0.013888908), (4, 0.9304302), (5, 0.013973326)]"
11,11,3.0,0.48682347,"[(0, 0.21150552), (3, 0.48682347), (4, 0.13706297), (5, 0.14694814)]"
12,12,4.0,0.5072838,"[(0, 0.4479957), (1, 0.011144643), (2, 0.011112959), (3, 0.011245368), (4, 0.5072838), (5, 0.011217524)]"
13,13,4.0,0.9561175,"[(4, 0.9561175)]"
14,14,3.0,0.69593906,"[(0, 0.20500392), (1, 0.069272816), (3, 0.69593906), (5, 0.010132753)]"
15,15,1.0,0.7916665,"[(0, 0.041666687), (1, 0.7916665), (2, 0.041666698), (3, 0.041666698), (4, 0.04166669), (5, 0.041666694)]"
