,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,0.0,0.6097266,"[(0, 0.6097266), (1, 0.05460776), (2, 0.16513245), (3, 0.17053317)]"
1,1,1.0,0.5017157,"[(0, 0.060582675), (1, 0.5017157), (2, 0.031253066), (3, 0.40644857)]"
2,2,1.0,0.5777324,"[(0, 0.02023455), (1, 0.5777324), (2, 0.38278806), (3, 0.01924502)]"
3,3,3.0,0.8974364,"[(0, 0.013542108), (1, 0.075120896), (2, 0.013900642), (3, 0.8974363)]"
4,4,1.0,0.70716196,"[(0, 0.019337874), (1, 0.70716196), (2, 0.018162305), (3, 0.25533786)]"
5,5,1.0,0.5712998,"[(0, 0.3010351), (1, 0.5712998), (2, 0.11287301), (3, 0.014792061)]"
6,6,0.0,0.43237093,"[(0, 0.43237093), (1, 0.30303642), (2, 0.017958445), (3, 0.24663417)]"
7,7,0.0,0.93597263,"[(0, 0.9359727), (1, 0.021971403), (2, 0.02117212), (3, 0.020883776)]"
8,8,3.0,0.7494139,"[(0, 0.08391435), (1, 0.08333555), (2, 0.08333624), (3, 0.7494139)]"
9,9,0.0,0.90548205,"[(0, 0.90548205), (1, 0.03186769), (2, 0.031343855), (3, 0.031306412)]"
10,10,2.0,0.91646945,"[(0, 0.027837476), (1, 0.02788812), (2, 0.91646945), (3, 0.027804878)]"
11,11,3.0,0.66270626,"[(0, 0.078041375), (1, 0.24531184), (2, 0.01394052), (3, 0.66270626)]"
12,12,2.0,0.70623326,"[(0, 0.23917048), (1, 0.02865116), (2, 0.70623326), (3, 0.025945136)]"
13,13,3.0,0.48557088,"[(0, 0.018588707), (1, 0.018052008), (2, 0.47778842), (3, 0.48557085)]"
14,14,3.0,0.5903915,"[(0, 0.23144865), (1, 0.16561161), (2, 0.012548287), (3, 0.5903915)]"
15,15,3.0,0.81163293,"[(0, 0.06336257), (1, 0.0625019), (2, 0.062502526), (3, 0.81163293)]"
16,16,3.0,0.5051135,"[(0, 0.076636575), (1, 0.40332514), (2, 0.014924854), (3, 0.5051135)]"
17,17,2.0,0.72607577,"[(0, 0.026577707), (1, 0.025002653), (2, 0.72607577), (3, 0.22234388)]"
18,18,3.0,0.9134629,"[(0, 0.028547997), (1, 0.028168801), (2, 0.02982033), (3, 0.9134629)]"
19,19,2.0,0.6516184,"[(0, 0.16499494), (1, 0.02318242), (2, 0.6516184), (3, 0.16020425)]"
20,20,0.0,0.42994636,"[(0, 0.42994636), (1, 0.31729427), (2, 0.015626775), (3, 0.23713258)]"
21,21,3.0,0.5629913,"[(0, 0.3112266), (1, 0.063277185), (2, 0.06250492), (3, 0.5629913)]"
22,22,0.0,0.41662082,"[(0, 0.41662082), (1, 0.08333513), (2, 0.084943295), (3, 0.41510078)]"
23,23,3.0,0.8406796,"[(0, 0.019037591), (1, 0.12241747), (2, 0.017865347), (3, 0.8406796)]"
24,24,3.0,0.8544499,"[(0, 0.08273468), (1, 0.031444862), (2, 0.03137056), (3, 0.8544499)]"
25,25,3.0,0.55038655,"[(0, 0.01666805), (1, 0.017245932), (2, 0.41569948), (3, 0.55038655)]"
26,26,0.0,0.51842374,"[(0, 0.51842374), (1, 0.11062349), (2, 0.2794079), (3, 0.09154493)]"
27,27,2.0,0.5292643,"[(0, 0.42582068), (1, 0.022455186), (2, 0.5292643), (3, 0.02245983)]"
28,28,3.0,0.6733075,"[(0, 0.014138994), (1, 0.11676113), (2, 0.19579245), (3, 0.6733075)]"
29,29,2.0,0.71843445,"[(0, 0.035719026), (1, 0.20999381), (2, 0.71843445), (3, 0.03585271)]"
30,30,2.0,0.91167486,"[(0, 0.029061815), (1, 0.030968418), (2, 0.9116749), (3, 0.028294832)]"
31,31,0.0,0.4234837,"[(0, 0.4234837), (1, 0.021812161), (2, 0.16794959), (3, 0.3867545)]"
