,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,7.0,0.29539818,"[(0, 0.0100011015), (1, 0.26785567), (2, 0.26674846), (3, 0.01000282), (4, 0.010001058), (5, 0.10998804), (6, 0.0100022275), (7, 0.29539818), (8, 0.010001058), (9, 0.010001366)]"
1,1,1.0,0.7228289,"[(0, 0.012503505), (1, 0.7228289), (2, 0.012503995), (3, 0.012503466), (4, 0.012503805), (5, 0.0125035485), (6, 0.012503593), (7, 0.012503518), (8, 0.012503466), (9, 0.17714219)]"
2,2,5.0,0.6097384,"[(0, 0.084970124), (4, 0.08073124), (5, 0.6097384), (7, 0.1912112)]"
3,3,2.0,0.3582453,"[(2, 0.3582453), (4, 0.25660363), (5, 0.32149145)]"
4,4,7.0,0.637527,"[(0, 0.012503353), (1, 0.012503353), (2, 0.012503353), (3, 0.012503353), (4, 0.012508735), (5, 0.14838241), (6, 0.012506586), (7, 0.637527), (8, 0.012503699), (9, 0.12655815)]"
5,5,1.0,0.5491082,"[(0, 0.012506513), (1, 0.5491082), (2, 0.012505287), (3, 0.012503198), (4, 0.012509002), (5, 0.012503298), (6, 0.012503583), (7, 0.01250326), (8, 0.012503198), (9, 0.35085446)]"
6,6,0.0,0.77938503,"[(0, 0.77938503), (2, 0.12067214), (3, 0.06102315)]"
7,7,1.0,0.47160357,"[(0, 0.05633851), (1, 0.47160354), (5, 0.1480467), (7, 0.052512802), (8, 0.18113239), (9, 0.07217102)]"
8,8,4.0,0.6976535,"[(4, 0.6976535), (8, 0.1596248), (9, 0.09270814)]"
9,9,2.0,0.32310864,"[(0, 0.0111182295), (1, 0.011123382), (2, 0.32310864), (3, 0.011119894), (4, 0.011121541), (5, 0.011119315), (6, 0.24797894), (7, 0.23313607), (8, 0.011117568), (9, 0.12905642)]"
10,10,0.0,0.8714206,"[(0, 0.8714206), (1, 0.014286466), (2, 0.0142865665), (3, 0.014286172), (4, 0.014286172), (5, 0.014286265), (6, 0.014288884), (7, 0.014286474), (8, 0.014286172), (9, 0.014286172)]"
11,11,1.0,0.70280784,"[(1, 0.70280784), (2, 0.102632925), (3, 0.04030021), (4, 0.08434092), (8, 0.057408318)]"
12,12,2.0,0.97567374,"[(2, 0.9756738)]"
13,13,5.0,0.619983,"[(0, 0.21999983), (1, 0.020002147), (2, 0.020002147), (3, 0.020002147), (4, 0.020002147), (5, 0.619983), (6, 0.020002147), (7, 0.020002147), (8, 0.020002147), (9, 0.020002147)]"
14,14,1.0,0.34885487,"[(0, 0.05009693), (1, 0.34885487), (4, 0.23186179), (5, 0.10931366), (8, 0.23713532)]"
15,15,4.0,0.45433262,"[(2, 0.1243313), (4, 0.45433262), (5, 0.22321467), (7, 0.10436855), (9, 0.064320184)]"
16,16,7.0,0.9264552,"[(4, 0.04772922), (7, 0.9264552)]"
17,17,3.0,0.91817033,"[(3, 0.9181703)]"
18,18,2.0,0.47889838,"[(1, 0.10974201), (2, 0.47889838), (3, 0.22547828), (6, 0.0567286), (7, 0.08365454), (9, 0.034677193)]"
19,19,2.0,0.5213805,"[(0, 0.011114662), (1, 0.0111149475), (2, 0.5213805), (3, 0.011114397), (4, 0.15219727), (5, 0.24861963), (6, 0.011114724), (7, 0.011115045), (8, 0.011114397), (9, 0.011114397)]"
20,20,8.0,0.3666592,"[(0, 0.033339698), (1, 0.3666011), (2, 0.033339698), (3, 0.033339698), (4, 0.03334308), (5, 0.033345535), (6, 0.033339698), (7, 0.033339698), (8, 0.3666592), (9, 0.03335259)]"
21,21,6.0,0.5851928,"[(1, 0.08483215), (4, 0.2799662), (6, 0.5851928)]"
22,22,1.0,0.34719822,"[(0, 0.012508231), (1, 0.34719822), (2, 0.012503102), (3, 0.0125046745), (4, 0.012503102), (5, 0.30002192), (6, 0.012507733), (7, 0.26524082), (8, 0.012503244), (9, 0.012508972)]"
23,23,3.0,0.39246404,"[(0, 0.01000198), (1, 0.010002812), (2, 0.3216618), (3, 0.39246404), (4, 0.01000198), (5, 0.010002261), (6, 0.01000248), (7, 0.1099589), (8, 0.01000198), (9, 0.11590178)]"
24,24,5.0,0.72857517,"[(0, 0.01428676), (1, 0.01428676), (2, 0.014287686), (3, 0.01428676), (4, 0.01428733), (5, 0.72857517), (6, 0.014288686), (7, 0.01428676), (8, 0.15712729), (9, 0.01428676)]"
25,25,5.0,0.448143,"[(0, 0.25548643), (1, 0.16159888), (5, 0.448143), (6, 0.08858439)]"
26,26,5.0,0.69993293,"[(0, 0.03334381), (1, 0.033335328), (2, 0.033335637), (3, 0.03333507), (4, 0.03335267), (5, 0.69993293), (6, 0.033359334), (7, 0.03333507), (8, 0.03333507), (9, 0.03333507)]"
27,27,2.0,0.6513644,"[(2, 0.6513644), (5, 0.12151144), (6, 0.09637722), (7, 0.08457973)]"
28,28,4.0,0.36164603,"[(0, 0.010005531), (1, 0.0100033535), (2, 0.010004182), (3, 0.010002396), (4, 0.36164603), (5, 0.010006357), (6, 0.31455305), (7, 0.010003355), (8, 0.2537725), (9, 0.0100032)]"
29,29,9.0,0.45572597,"[(0, 0.011116517), (1, 0.011121304), (2, 0.011116202), (3, 0.122207664), (4, 0.011124199), (5, 0.011116818), (6, 0.0111171855), (7, 0.011116602), (8, 0.34423754), (9, 0.455726)]"
30,30,6.0,0.28716755,"[(0, 0.10903507), (1, 0.13386832), (2, 0.19727841), (5, 0.23096529), (6, 0.28716755)]"
31,31,1.0,0.27295887,"[(1, 0.27295887), (6, 0.2607227), (8, 0.20187305), (9, 0.2371536)]"
32,32,0.0,0.3700976,"[(0, 0.3700976), (1, 0.05775784), (2, 0.060540665), (5, 0.20810536), (6, 0.12825935), (7, 0.15416706)]"
33,33,2.0,0.76683843,"[(2, 0.76683843), (4, 0.12257437), (9, 0.06682556)]"
34,34,4.0,0.30714867,"[(0, 0.07868742), (1, 0.15236558), (4, 0.30714867), (5, 0.12715635), (8, 0.06530187), (9, 0.24579673)]"
35,35,6.0,0.6758894,"[(0, 0.10147604), (6, 0.6758894), (9, 0.16428651)]"
36,36,2.0,0.8355175,"[(2, 0.8355175), (4, 0.13947651)]"
37,37,7.0,0.5080599,"[(3, 0.10561542), (4, 0.07241407), (5, 0.07810908), (6, 0.16082092), (7, 0.5080599), (9, 0.054973282)]"
38,38,4.0,0.5642312,"[(1, 0.057814445), (4, 0.5642312), (6, 0.19969386), (7, 0.135385)]"
39,39,1.0,0.7605899,"[(1, 0.7605899), (3, 0.07330631), (5, 0.11942288)]"
40,40,1.0,0.58294064,"[(0, 0.10669729), (1, 0.58294064), (5, 0.055500176), (8, 0.10549076), (9, 0.12662922)]"
41,41,3.0,0.6090422,"[(0, 0.011111837), (1, 0.3020568), (2, 0.011112383), (3, 0.6090422), (4, 0.011112139), (5, 0.011111839), (6, 0.011113031), (7, 0.011116028), (8, 0.011111837), (9, 0.011111837)]"
42,42,4.0,0.8359424,"[(1, 0.04046982), (2, 0.03529063), (4, 0.8359424), (7, 0.03667703), (8, 0.035483733)]"
43,43,0.0,0.66206986,"[(0, 0.66206986), (3, 0.03921943), (4, 0.23617741), (9, 0.04108937)]"
44,44,7.0,0.6108383,"[(2, 0.1062664), (3, 0.040640425), (4, 0.22002402), (7, 0.6108383)]"
45,45,1.0,0.6710347,"[(0, 0.2674108), (1, 0.6710347)]"
46,46,7.0,0.7527299,"[(7, 0.7527299), (9, 0.1900993)]"
47,47,4.0,0.5234282,"[(4, 0.5234282), (7, 0.44579467)]"
48,48,3.0,0.62001055,"[(0, 0.020004151), (1, 0.020004151), (2, 0.21994187), (3, 0.62001055), (4, 0.020004151), (5, 0.020004151), (6, 0.020018285), (7, 0.020004151), (8, 0.020004151), (9, 0.020004435)]"
49,49,9.0,0.3096754,"[(0, 0.2533553), (3, 0.057974778), (4, 0.29618394), (5, 0.057798073), (9, 0.3096754)]"
50,50,9.0,0.68663985,"[(0, 0.05320603), (1, 0.04425594), (2, 0.043972943), (3, 0.060166232), (4, 0.03693451), (7, 0.03955149), (8, 0.029863033), (9, 0.68663985)]"
