,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,2.0,0.47974923,"[(1, 0.10436352), (2, 0.47974923), (5, 0.38545015)]"
1,1,4.0,0.31727204,"[(2, 0.15446787), (4, 0.31727204), (7, 0.2826037), (8, 0.19564562)]"
2,2,3.0,0.35922983,"[(0, 0.17303018), (3, 0.35922983), (6, 0.09016244), (7, 0.065652624), (8, 0.06994596), (9, 0.21975347)]"
3,3,8.0,0.9653826,"[(8, 0.9653825)]"
4,4,6.0,0.839009,"[(6, 0.839009), (8, 0.10382712)]"
5,5,6.0,0.5446896,"[(3, 0.07354479), (6, 0.5446896), (8, 0.20796072), (9, 0.14379999)]"
6,6,0.0,0.59319055,"[(0, 0.59319055), (4, 0.05575965), (5, 0.07019289), (6, 0.18797244), (8, 0.06787662)]"
7,7,6.0,0.6625819,"[(2, 0.097100325), (3, 0.19656587), (6, 0.6625819)]"
8,8,4.0,0.37796736,"[(0, 0.355366), (1, 0.033333335), (2, 0.033333335), (3, 0.033333335), (4, 0.37796736), (5, 0.033333335), (6, 0.033333335), (7, 0.033333335), (8, 0.033333335), (9, 0.033333335)]"
9,9,6.0,0.74826473,"[(1, 0.11949948), (2, 0.085568346), (6, 0.74826473)]"
10,10,1.0,0.61065954,"[(1, 0.61065954), (8, 0.15568803), (9, 0.17530839)]"
11,11,4.0,0.54368764,"[(1, 0.08202561), (2, 0.20310834), (4, 0.54368764), (6, 0.06943774), (9, 0.07048359)]"
12,12,4.0,0.57730067,"[(1, 0.25261942), (4, 0.57730067), (8, 0.1200759)]"
13,13,8.0,0.6174144,"[(1, 0.061880205), (3, 0.28386238), (8, 0.6174144)]"
14,14,7.0,0.94704956,"[(7, 0.94704956)]"
15,15,4.0,0.775,"[(0, 0.025), (1, 0.025), (2, 0.025), (3, 0.025), (4, 0.775), (5, 0.025), (6, 0.025), (7, 0.025), (8, 0.025), (9, 0.025)]"
16,16,5.0,0.6389444,"[(0, 0.14171995), (2, 0.105536416), (5, 0.6389444), (8, 0.080464646)]"
17,17,2.0,0.43076295,"[(2, 0.43076298), (3, 0.10041847), (4, 0.28082138), (9, 0.13343988)]"
18,18,7.0,0.5852706,"[(1, 0.34196666), (7, 0.5852706)]"
19,19,3.0,0.37964815,"[(1, 0.12127438), (2, 0.24108474), (3, 0.37964815), (9, 0.21182726)]"
20,20,7.0,0.70140177,"[(6, 0.1518466), (7, 0.70140177), (8, 0.10990572)]"
21,21,7.0,0.84999996,"[(0, 0.016666668), (1, 0.016666668), (2, 0.016666668), (3, 0.016666668), (4, 0.016666668), (5, 0.016666668), (6, 0.016666668), (7, 0.84999996), (8, 0.016666668), (9, 0.016666668)]"
22,22,1.0,0.36666664,"[(0, 0.033333335), (1, 0.36666664), (2, 0.033338234), (3, 0.033333335), (4, 0.033333335), (5, 0.3666611), (6, 0.033333335), (7, 0.033334024), (8, 0.033333335), (9, 0.033333335)]"
23,23,7.0,0.5024947,"[(6, 0.31750298), (7, 0.5024947), (8, 0.14315443)]"
24,24,0.0,0.45555547,"[(0, 0.4555555), (1, 0.011111111), (2, 0.011111111), (3, 0.011111117), (4, 0.011115309), (5, 0.011111544), (6, 0.122217484), (7, 0.011113744), (8, 0.34444165), (9, 0.011111433)]"
25,25,2.0,0.42269224,"[(0, 0.09317434), (2, 0.42269224), (4, 0.16629933), (5, 0.17701162), (7, 0.11450221)]"
26,26,2.0,0.6196099,"[(2, 0.6196099), (8, 0.34401828)]"
27,27,8.0,0.31221342,"[(3, 0.20341523), (4, 0.14676072), (5, 0.09450439), (7, 0.20143525), (8, 0.31221342)]"
28,28,8.0,0.5210117,"[(0, 0.046197347), (1, 0.28380328), (3, 0.12398591), (8, 0.5210117)]"
29,29,3.0,0.71875477,"[(0, 0.08514796), (1, 0.0827577), (2, 0.07333249), (3, 0.71875477)]"
30,30,8.0,0.4863166,"[(2, 0.18709862), (3, 0.14984265), (6, 0.1267317), (8, 0.4863166)]"
31,31,6.0,0.43063828,"[(0, 0.1693414), (4, 0.33338532), (6, 0.43063828), (8, 0.04355496)]"
32,32,5.0,0.36570364,"[(0, 0.08103555), (3, 0.1744151), (4, 0.33598575), (5, 0.36570364)]"
33,33,7.0,0.38929677,"[(2, 0.2702414), (4, 0.25668547), (6, 0.06612747), (7, 0.38929677)]"
34,34,4.0,0.9742848,"[(4, 0.97428477)]"
35,35,3.0,0.4704373,"[(2, 0.29251766), (3, 0.47043726), (4, 0.09205985), (5, 0.06076597), (6, 0.05789465)]"
36,36,2.0,0.5594315,"[(0, 0.012500661), (1, 0.012501521), (2, 0.5594315), (3, 0.01250051), (4, 0.012500635), (5, 0.0125), (6, 0.01250018), (7, 0.34056115), (8, 0.012500708), (9, 0.012503125)]"
37,37,4.0,0.97352844,"[(4, 0.97352844)]"
