,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,1.0,0.9646547,"[(0, 0.011414399), (1, 0.9646547), (2, 0.011844455), (3, 0.012086446)]"
1,1,2.0,0.84104085,"[(0, 0.020324675), (1, 0.11898161), (2, 0.84104085), (3, 0.01965292)]"
2,2,2.0,0.7535563,"[(0, 0.015709551), (1, 0.018985111), (2, 0.7535563), (3, 0.21174905)]"
3,3,3.0,0.9693568,"[(0, 0.010208294), (1, 0.010167716), (2, 0.010267222), (3, 0.9693568)]"
4,4,3.0,0.9611067,"[(0, 0.0146666095), (1, 0.012118148), (2, 0.012108413), (3, 0.9611068)]"
5,5,3.0,0.96979386,"[(2, 0.010587127), (3, 0.96979386)]"
6,6,3.0,0.4661164,"[(0, 0.19279133), (1, 0.015990568), (2, 0.32510164), (3, 0.46611643)]"
7,7,1.0,0.8881793,"[(0, 0.019876435), (1, 0.8881793), (2, 0.073579215), (3, 0.018365065)]"
8,8,1.0,0.9715369,"[(1, 0.9715369)]"
9,9,0.0,0.9594712,"[(0, 0.95947117), (1, 0.013495743), (2, 0.013312223), (3, 0.0137208905)]"
10,10,1.0,0.5746559,"[(0, 0.37149948), (1, 0.5746559), (2, 0.026183847), (3, 0.02766074)]"
11,11,0.0,0.66859835,"[(0, 0.66859835), (1, 0.30690056), (2, 0.01208706), (3, 0.012413994)]"
12,12,0.0,0.6036902,"[(0, 0.6036902), (1, 0.36601034), (2, 0.015038544), (3, 0.015260891)]"
13,13,3.0,0.6562164,"[(0, 0.20898464), (1, 0.014361498), (2, 0.12043744), (3, 0.6562164)]"
14,14,2.0,0.9003696,"[(0, 0.0860837), (2, 0.90036964)]"
15,15,1.0,0.9741254,"[(1, 0.9741254)]"
16,16,1.0,0.5321563,"[(0, 0.013731418), (1, 0.5321563), (2, 0.35951516), (3, 0.094597176)]"
17,17,3.0,0.61497957,"[(0, 0.018426767), (1, 0.22215834), (2, 0.14443533), (3, 0.61497957)]"
18,18,1.0,0.9380835,"[(0, 0.01997336), (1, 0.9380835), (2, 0.01957822), (3, 0.022364933)]"
19,19,2.0,0.70331055,"[(0, 0.011035622), (1, 0.1207672), (2, 0.70331055), (3, 0.16488667)]"
20,20,0.0,0.8735835,"[(0, 0.87358356), (2, 0.1129699)]"
21,21,1.0,0.66956556,"[(0, 0.23002568), (1, 0.66956556), (2, 0.050391562), (3, 0.05001726)]"
22,22,1.0,0.5147706,"[(0, 0.09363217), (1, 0.5147706), (2, 0.08337561), (3, 0.3082216)]"
23,23,1.0,0.9673593,"[(0, 0.010947586), (1, 0.9673593), (2, 0.011127161), (3, 0.01056592)]"
24,24,2.0,0.6636107,"[(0, 0.13252527), (1, 0.18087061), (2, 0.6636107), (3, 0.022993429)]"
25,25,2.0,0.9665997,"[(0, 0.011215991), (1, 0.011078895), (2, 0.96659964), (3, 0.011105438)]"
26,26,2.0,0.9703628,"[(1, 0.0101409955), (2, 0.9703628)]"
27,27,2.0,0.4868095,"[(0, 0.015869372), (1, 0.016289832), (2, 0.48680952), (3, 0.4810313)]"
28,28,3.0,0.9140994,"[(1, 0.06713799), (3, 0.9140994)]"
29,29,3.0,0.50066173,"[(0, 0.016480882), (1, 0.20784767), (2, 0.2750097), (3, 0.50066173)]"
