,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,0.0,0.8168713,"[(0, 0.8168713), (5, 0.14359288)]"
1,1,7.0,0.59450054,"[(0, 0.017904175), (1, 0.29829285), (2, 0.017857185), (3, 0.017857144), (4, 0.017857144), (5, 0.017867757), (6, 0.017863244), (7, 0.59450054)]"
2,2,4.0,0.92040324,"[(0, 0.011364478), (1, 0.011367911), (2, 0.011370498), (3, 0.011374855), (4, 0.92040324), (5, 0.011373574), (6, 0.011368594), (7, 0.011376872)]"
3,3,3.0,0.85629654,"[(1, 0.060355242), (2, 0.053568114), (3, 0.85629654)]"
4,4,5.0,0.64693666,"[(0, 0.29530853), (5, 0.64693666)]"
5,5,5.0,0.4364158,"[(0, 0.09297046), (3, 0.12772256), (4, 0.2093777), (5, 0.4364158), (6, 0.11263854)]"
6,6,7.0,0.4303085,"[(0, 0.28729254), (5, 0.13975509), (6, 0.10922459), (7, 0.4303085)]"
7,7,0.0,0.7706228,"[(0, 0.7706228), (1, 0.011376748), (2, 0.011369764), (3, 0.011376213), (4, 0.011368197), (5, 0.01137865), (6, 0.011371768), (7, 0.16113585)]"
8,8,7.0,0.37499902,"[(0, 0.041666668), (1, 0.041666668), (2, 0.041666668), (3, 0.041672017), (4, 0.041666906), (5, 0.37499538), (6, 0.041666668), (7, 0.37499902)]"
9,9,0.0,0.5453946,"[(0, 0.5453946), (1, 0.010446843), (2, 0.010423302), (3, 0.08104023), (4, 0.010416667), (5, 0.32143968), (6, 0.01041667), (7, 0.01042199)]"
10,10,7.0,0.8905575,"[(0, 0.015627991), (1, 0.015627202), (2, 0.015636362), (3, 0.015629442), (4, 0.015656022), (5, 0.015630128), (6, 0.01563528), (7, 0.8905576)]"
11,11,1.0,0.84148794,"[(1, 0.84148794), (6, 0.10489933)]"
12,12,7.0,0.9326752,"[(7, 0.9326751)]"
13,13,3.0,0.75849646,"[(3, 0.75849646), (7, 0.18792228)]"
14,14,1.0,0.6734669,"[(0, 0.21715803), (1, 0.6734669), (2, 0.07030568)]"
15,15,7.0,0.78125,"[(0, 0.031250004), (1, 0.031250004), (2, 0.031250004), (3, 0.031250004), (4, 0.031250004), (5, 0.031250004), (6, 0.031250004), (7, 0.78125)]"
16,16,6.0,0.557637,"[(0, 0.35271847), (3, 0.05491162), (6, 0.557637)]"
17,17,5.0,0.8905361,"[(0, 0.015625), (1, 0.015647752), (2, 0.015625002), (3, 0.015637284), (4, 0.015632), (5, 0.8905362), (6, 0.015625), (7, 0.015671786)]"
18,18,1.0,0.308223,"[(0, 0.015631577), (1, 0.308223), (2, 0.015625006), (3, 0.015625004), (4, 0.18404065), (5, 0.015642406), (6, 0.15078291), (7, 0.29442948)]"
19,19,2.0,0.29319775,"[(0, 0.13192731), (1, 0.0113764815), (2, 0.29319775), (3, 0.011368842), (4, 0.18404189), (5, 0.1113961), (6, 0.01138143), (7, 0.24531022)]"
20,20,1.0,0.7174228,"[(0, 0.23843682), (1, 0.7174228)]"
21,21,4.0,0.70832926,"[(0, 0.041666668), (1, 0.04166667), (2, 0.041666668), (3, 0.041666668), (4, 0.70832926), (5, 0.041666668), (6, 0.04166976), (7, 0.041667614)]"
22,22,3.0,0.708312,"[(0, 0.041666664), (1, 0.041688047), (2, 0.041666664), (3, 0.708312), (4, 0.041666664), (5, 0.041666664), (6, 0.041666664), (7, 0.041666664)]"
23,23,1.0,0.8399956,"[(0, 0.01042524), (1, 0.8399956), (2, 0.010421034), (3, 0.010420381), (4, 0.09744981), (5, 0.0104323905), (6, 0.010430547), (7, 0.010424931)]"
24,24,5.0,0.5133451,"[(0, 0.01564786), (1, 0.0156316), (2, 0.14061311), (3, 0.26785782), (4, 0.015641734), (5, 0.5133451), (6, 0.015632464), (7, 0.015630312)]"
25,25,7.0,0.54812163,"[(0, 0.010417418), (1, 0.010416667), (2, 0.3893632), (3, 0.010418866), (4, 0.010421764), (5, 0.010420396), (6, 0.010420104), (7, 0.54812163)]"
26,26,7.0,0.46079764,"[(0, 0.08154696), (3, 0.41856685), (7, 0.46079767)]"
27,27,1.0,0.50441504,"[(0, 0.013898109), (1, 0.50441504), (2, 0.013898581), (3, 0.12417547), (4, 0.15040061), (5, 0.013910953), (6, 0.0139302015), (7, 0.16537106)]"
28,28,2.0,0.48371056,"[(2, 0.4837106), (3, 0.22756456), (7, 0.2558024)]"
29,29,7.0,0.65933764,"[(0, 0.012500593), (1, 0.012501342), (2, 0.012500015), (3, 0.11339234), (4, 0.012505867), (5, 0.16476138), (6, 0.0125008095), (7, 0.65933764)]"
30,30,4.0,0.6955034,"[(0, 0.013899094), (1, 0.013917827), (2, 0.013903582), (3, 0.013911092), (4, 0.6955034), (5, 0.013897502), (6, 0.013899554), (7, 0.22106792)]"
31,31,5.0,0.59730065,"[(0, 0.25967386), (3, 0.09488588), (5, 0.59730065)]"
32,32,3.0,0.46593475,"[(0, 0.011372075), (1, 0.21046232), (2, 0.011363638), (3, 0.46593475), (4, 0.011363638), (5, 0.26670772), (6, 0.011395401), (7, 0.011400429)]"
33,33,3.0,0.31232896,"[(0, 0.2970512), (1, 0.2562312), (3, 0.31232896), (6, 0.11512682)]"
34,34,6.0,0.96349174,"[(6, 0.96349174)]"
35,35,3.0,0.5587576,"[(1, 0.15481979), (3, 0.5587576), (4, 0.24470659)]"
36,36,0.0,0.38876095,"[(0, 0.38876095), (1, 0.33169848), (2, 0.20137697), (3, 0.015628109), (4, 0.01563644), (5, 0.015634472), (6, 0.01563264), (7, 0.01563195)]"
37,37,6.0,0.9619084,"[(6, 0.9619084)]"
38,38,5.0,0.66163665,"[(0, 0.011365756), (1, 0.19011499), (2, 0.09139417), (3, 0.011369151), (4, 0.011373769), (5, 0.66163665), (6, 0.011377455), (7, 0.011368049)]"
