date,X01-a,X01-b,X02-a,X02-b,Z01-a,Z01-b,Z02-a,Z02-b,Z03-a,Z03-b,Z04-a,Z04-b,Z05-a,Z05-b,Y01-a,Y01-b,Y02-a,Y02-b,Y03-a,Y03-b,T01-a,T01-b,bottom,predict,top
2022-02-13,0.15007,0.11057,0.0,0.0,1.58814,0.63525,0.8643,0.8643,4.24664,3.37212,1.59219,6.70261,1.41037,9.48589,0.23418,0.40152,1.12584,0.43183,1.35967,0.667,1.11111,1.11111,338.1430944124034,355.9400993814773,373.7371043505512
2022-02-14,0.32252,0.29619,15.71428,10.0,10.1641,1.85283,7.82195,1.16681,8.78382,12.77791,3.82639,14.35541,3.38944,16.49226,0.55813,0.55472,3.65515,1.38803,5.66957,2.71934,4.75694,3.33333,329.7793309674071,347.1361378604285,364.49294475344993
2022-02-15,0.23695,0.25143,15.71428,10.0,5.61143,1.74695,4.36473,1.46931,8.59132,11.65506,3.56959,9.93836,3.16196,14.83166,0.42445,0.49861,2.31338,1.18753,2.74499,2.74499,3.4375,3.88888,297.4525955275082,313.1079952921139,328.7633950567196
2022-02-16,0.22115,0.26591,10.0,15.71428,2.6469,2.48808,1.68539,2.03111,8.18684,10.93278,2.46533,6.67693,2.1838,9.87261,0.31858,0.49227,1.35718,1.31091,3.77116,5.48999,4.27083,2.84722,318.7470624790663,335.52322366217504,352.2993848452838
2022-02-17,0.37517,0.30277,11.42857,20.0,18.58125,2.48808,13.95851,1.59896,8.10634,12.87367,2.95326,6.21468,2.61601,9.41765,0.36493,0.49129,1.89697,0.87908,3.18111,2.64238,4.82638,2.91666,346.28308688686144,364.50851251248577,382.7339381381101
