,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
45,45,8.0,0.4813654,"[(2, 0.2616055), (8, 0.4813654), (9, 0.23643494)]"
46,46,9.0,0.5288411,"[(6, 0.42669424), (9, 0.5288411)]"
47,47,6.0,0.2560745,"[(2, 0.24682996), (3, 0.18374686), (6, 0.2560745), (7, 0.118413344), (8, 0.04585361), (9, 0.14193311)]"
48,48,6.0,0.33009192,"[(4, 0.17110294), (5, 0.09121172), (6, 0.33009192), (7, 0.26712686), (9, 0.12657183)]"
49,49,8.0,0.3750678,"[(0, 0.15585054), (4, 0.048803225), (7, 0.27766365), (8, 0.3750678), (9, 0.12086627)]"
50,50,3.0,0.3640447,"[(0, 0.20788848), (3, 0.3640447), (6, 0.24467751), (9, 0.16874842)]"
51,51,5.0,0.28858468,"[(0, 0.24693963), (2, 0.18296398), (5, 0.28858468), (7, 0.07121434), (8, 0.09110575), (9, 0.09696358)]"
52,52,3.0,0.4732473,"[(0, 0.07240638), (3, 0.4732473), (7, 0.13942434), (8, 0.09351307), (9, 0.20527595)]"
53,53,3.0,0.4202736,"[(0, 0.22939363), (3, 0.4202736), (7, 0.20578083), (8, 0.123854354)]"
54,54,9.0,0.6730785,"[(0, 0.27689677), (9, 0.6730785)]"
55,55,6.0,0.676529,"[(3, 0.27901313), (6, 0.676529)]"
56,56,0.0,0.48814058,"[(0, 0.4881406), (3, 0.14962333), (6, 0.3317894)]"
57,57,9.0,0.31982356,"[(4, 0.08727876), (5, 0.254473), (6, 0.23298335), (8, 0.08162351), (9, 0.31982356)]"
58,58,6.0,0.57174283,"[(6, 0.57174283), (7, 0.06716246), (9, 0.34049585)]"
59,59,9.0,0.6084942,"[(1, 0.078229524), (4, 0.039007634), (7, 0.2575957), (9, 0.6084942)]"
60,60,6.0,0.77970344,"[(0, 0.07572883), (6, 0.77970344), (7, 0.13027726)]"
61,61,9.0,0.3886438,"[(3, 0.2367241), (6, 0.33344296), (9, 0.3886438)]"
62,62,9.0,0.48786643,"[(0, 0.14393748), (8, 0.3045382), (9, 0.4878664)]"
63,63,8.0,0.4096025,"[(0, 0.14007856), (2, 0.14422782), (3, 0.23288004), (7, 0.062790796), (8, 0.4096025)]"
