sec,t1 success,t2 success,N t1 wp,N t1 accordance,line A diff,line B diff,N t2 wp,N t2 accordance,N t2 O(1)/U(0),TOTAL A diff,TOTAL B diff,diff line,DIFF total
20191104,0,0,50.76923077,0,7.000292507,7.566294469,66.15384615,1,0,-9.616337849,-3.868586479,-0.566001962,-5.74775137
20191104,0,1,56.92307692,1,-6.763793129,-5.02778771,63.07692308,1,0,-7.550268127,-4.038794167,-1.736005419,-3.51147396
20191105,0,0,71.53846154,1,-2.019465842,1.716534116,53.84615385,1,0,2.558110352,3.123979921,-3.735999957,-0.565869569
20191105,0,0,67.69230769,1,0.785321574,2.904733221,67.69230769,1,0,3.287847548,7.808725038,-2.119411647,-4.52087749
20191105,0,0,57.69230769,1,1.46843021,2.612875154,52.30769231,0,1,4.141234791,2.965314144,-1.144444945,1.175920647
20191105,1,0,67.69230769,1,-4.937288555,-1.585256735,59.23076923,0,0,3.935978268,5.992240492,-3.35203182,-2.056262224
20191105,1,1,56.92307692,1,3.9268879,5.459202213,64.61538462,1,0,6.576113213,10.24789983,-1.532314312,-3.671786614
20191105,0,1,54.61538462,1,-2.656082977,-1.626065195,50.76923077,1,0,12.27125119,13.30148846,-1.030017783,-1.030237268
20191106,1,0,66.92307692,1,-6.024252927,-2.87119285,56.92307692,1,0,-10.50665072,-8.580646976,-3.153060077,-1.92600374
20191106,0,0,62.30769231,1,-1.079792806,1.46950226,67.69230769,1,0,-9.471328529,-5.765109611,-2.549295066,-3.706218918
20191106,0,1,80,1,-8.852415751,-5.193943512,60,1,0,0.04741821,0.922490129,-3.658472239,-0.875071918
20191106,0,0,53.84615385,0,4.193378553,4.522272979,55.38461538,1,1,6.547410026,4.905218833,-0.328894426,1.642191193
20191106,0,0,82.30769231,1,-5.111373464,-0.514647707,64.61538462,1,0,10.60978097,13.86194098,-4.596725757,-3.252160014
20191106,1,0,66.15384615,1,-3.249753151,-1.481288647,77.69230769,1,0,-3.766458102,3.168910157,-1.768464504,-6.935368259
20191106,1,0,69.23076923,1,-2.798046881,-1.521706021,53.07692308,1,0,8.512379265,8.407020382,-1.27634086,0.105358883
20191106,0,0,81.53846154,1,-1.707177915,2.575763656,65.38461538,1,0,-6.360028405,-2.505412778,-4.282941571,-3.854615627
20191106,1,0,80.76923077,1,4.73191926,8.060947363,56.15384615,1,0,-12.83064557,-10.63428638,-3.329028103,-2.19635919
20191107,1,0,70,1,-2.074609041,0.35244862,53.84615385,0,1,-3.751670859,-5.842334656,-2.427057661,2.090663797
20191107,0,1,60.76923077,1,-8.320933215,-5.773430285,51.53846154,1,0,2.583495282,2.453835,-2.547502929,0.129660282
20191107,1,0,67.69230769,1,-2.241884748,0.474843405,73.84615385,1,0,-3.972815603,1.976818913,-2.716728153,-5.949634515
20191107,0,0,60,1,-2.304613171,-1.372252144,53.84615385,0,0,1.763881224,2.349412715,-0.932361027,-0.585531491
20191108,0,0,54.61538462,1,-3.918890114,-3.118828605,53.84615385,1,0,-1.081425491,0.53445406,-0.800061509,-1.615879551
20191108,0,1,53.84615385,1,0.134262767,0.390093867,67.69230769,1,0,1.101979772,5.56671555,-0.2558311,-4.464735777
20191108,1,1,78.46153846,1,-0.730450958,2.566851746,53.84615385,0,0,5.461048398,5.948186887,-3.297302704,-0.48713849
20191108,0,1,53.07692308,1,-10.46080725,-9.78190222,63.84615385,1,0,12.05516344,15.38020731,-0.678905029,-3.325043872
