,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,3.0,0.5511118,"[(0, 0.015640981), (1, 0.015642364), (2, 0.015646508), (3, 0.5511118), (4, 0.015632525), (5, 0.01563851), (6, 0.015642293), (7, 0.35504505)]"
1,1,7.0,0.37499684,"[(0, 0.041666664), (1, 0.37498343), (2, 0.04166667), (3, 0.04167792), (4, 0.041675128), (5, 0.041666668), (6, 0.041666664), (7, 0.37499684)]"
2,2,7.0,0.59958875,"[(0, 0.010422439), (1, 0.010434735), (2, 0.01042312), (3, 0.010416956), (4, 0.010436523), (5, 0.33786082), (6, 0.010416667), (7, 0.59958875)]"
3,3,5.0,0.54906,"[(0, 0.011363638), (1, 0.1099451), (2, 0.011363722), (3, 0.28415358), (4, 0.011365165), (5, 0.54906), (6, 0.011378385), (7, 0.011370499)]"
4,4,4.0,0.49123558,"[(1, 0.40614495), (4, 0.49123558), (5, 0.07655355)]"
5,5,5.0,0.5912938,"[(2, 0.16890708), (5, 0.5912938), (6, 0.20299461)]"
6,6,7.0,0.32286623,"[(3, 0.10917282), (4, 0.3098409), (5, 0.2247413), (7, 0.32286623)]"
7,7,7.0,0.65921646,"[(5, 0.1884302), (6, 0.11064889), (7, 0.65921646)]"
8,8,6.0,0.8279073,"[(0, 0.013891109), (1, 0.013888889), (2, 0.088705234), (3, 0.013890603), (4, 0.013901053), (5, 0.013893621), (6, 0.8279073), (7, 0.013922166)]"
9,9,2.0,0.4894851,"[(2, 0.4894851), (6, 0.45688578)]"
10,10,5.0,0.48097372,"[(0, 0.010420173), (1, 0.0104169035), (2, 0.010430717), (3, 0.20054364), (4, 0.010420132), (5, 0.48097372), (6, 0.010416668), (7, 0.26637802)]"
11,11,4.0,0.42579427,"[(0, 0.01251902), (1, 0.31841153), (2, 0.012502616), (3, 0.012510315), (4, 0.42579427), (5, 0.0125167025), (6, 0.19324414), (7, 0.012501396)]"
12,12,7.0,0.33085486,"[(0, 0.01250833), (1, 0.18587746), (2, 0.012506375), (3, 0.24588096), (4, 0.012519223), (5, 0.18734571), (6, 0.012507053), (7, 0.33085486)]"
13,13,1.0,0.4142331,"[(0, 0.3762832), (1, 0.4142331), (2, 0.020835342), (3, 0.020864949), (4, 0.10519305), (5, 0.02086773), (6, 0.020868715), (7, 0.020853976)]"
14,14,5.0,0.64290476,"[(1, 0.187166), (5, 0.64290476), (6, 0.14015627)]"
15,15,4.0,0.3942813,"[(2, 0.10560006), (3, 0.2255069), (4, 0.3942813), (5, 0.17943789), (7, 0.07541348)]"
16,16,5.0,0.88136274,"[(4, 0.074496076), (5, 0.88136274)]"
17,17,5.0,0.7707463,"[(2, 0.1792277), (5, 0.7707463)]"
18,18,7.0,0.409202,"[(0, 0.017870963), (1, 0.214714), (2, 0.017877432), (3, 0.017870113), (4, 0.017858153), (5, 0.017867045), (6, 0.28674027), (7, 0.409202)]"
19,19,3.0,0.49106243,"[(1, 0.1448082), (3, 0.49106243), (7, 0.3224134)]"
20,20,3.0,0.87482417,"[(0, 0.017864784), (1, 0.017947102), (2, 0.01786326), (3, 0.87482417), (4, 0.01787081), (5, 0.017867487), (6, 0.017898621), (7, 0.017863767)]"
21,21,2.0,0.54767317,"[(0, 0.013888887), (1, 0.013888891), (2, 0.54767317), (3, 0.013888887), (4, 0.013889649), (5, 0.36896372), (6, 0.013902236), (7, 0.013904512)]"
22,22,2.0,0.5419163,"[(2, 0.5419163), (4, 0.23916622), (7, 0.17722616)]"
23,23,5.0,0.6777318,"[(4, 0.26452747), (5, 0.6777318)]"
24,24,7.0,0.41945437,"[(1, 0.06799657), (3, 0.08261272), (4, 0.21741094), (5, 0.19278353), (7, 0.41945437)]"
25,25,7.0,0.6197257,"[(0, 0.3119845), (1, 0.011374414), (2, 0.011366179), (3, 0.011374822), (4, 0.011407421), (5, 0.011374318), (6, 0.011392618), (7, 0.6197257)]"
26,26,6.0,0.42880255,"[(1, 0.16239864), (3, 0.3606596), (6, 0.42880255)]"
27,27,2.0,0.4580948,"[(0, 0.013894917), (1, 0.013909285), (2, 0.4580948), (3, 0.013930695), (4, 0.013936047), (5, 0.14856178), (6, 0.32378036), (7, 0.013892097)]"
28,28,1.0,0.66872084,"[(0, 0.0803936), (1, 0.66872084), (5, 0.21611859)]"
29,29,7.0,0.38302743,"[(0, 0.01389985), (1, 0.3119533), (2, 0.013896583), (3, 0.013906656), (4, 0.013895755), (5, 0.10659576), (6, 0.14282468), (7, 0.38302743)]"
30,30,5.0,0.92705846,"[(0, 0.010426175), (1, 0.010428802), (2, 0.010417204), (3, 0.010417727), (4, 0.010417812), (5, 0.9270584), (6, 0.010416773), (7, 0.010417101)]"
