,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,3.0,0.61188865,"[(0, 0.032001194), (1, 0.32286522), (2, 0.033244934), (3, 0.61188865)]"
1,1,3.0,0.7433842,"[(0, 0.08525727), (1, 0.085251845), (2, 0.08610669), (3, 0.7433842)]"
2,2,1.0,0.6535246,"[(0, 0.02124837), (1, 0.6535246), (2, 0.17127098), (3, 0.15395606)]"
3,3,3.0,0.42546594,"[(0, 0.022986354), (1, 0.33666703), (2, 0.21488065), (3, 0.42546594)]"
4,4,3.0,0.50742406,"[(0, 0.010813649), (1, 0.4712449), (2, 0.0105174035), (3, 0.50742406)]"
5,5,2.0,0.95336384,"[(0, 0.015603928), (1, 0.015263514), (2, 0.9533639), (3, 0.015768657)]"
6,6,1.0,0.49563593,"[(0, 0.017156132), (1, 0.49563593), (2, 0.10072211), (3, 0.3864858)]"
7,7,1.0,0.5133554,"[(0, 0.016766185), (1, 0.5133554), (2, 0.01776799), (3, 0.45211047)]"
8,8,2.0,0.9136483,"[(0, 0.029383719), (1, 0.027830701), (2, 0.9136483), (3, 0.029137237)]"
9,9,2.0,0.9447721,"[(0, 0.01882513), (1, 0.017982585), (2, 0.9447721), (3, 0.018420165)]"
10,10,1.0,0.74056935,"[(0, 0.02110244), (1, 0.74056935), (2, 0.12586673), (3, 0.11246154)]"
11,11,0.0,0.50379777,"[(0, 0.50379777), (1, 0.44134116), (2, 0.025959712), (3, 0.028901344)]"
12,12,3.0,0.6843637,"[(0, 0.025398573), (1, 0.26453778), (2, 0.02569996), (3, 0.6843637)]"
13,13,0.0,0.8689312,"[(0, 0.8689312), (1, 0.04310273), (2, 0.0434175), (3, 0.044548605)]"
14,14,3.0,0.9638871,"[(0, 0.011921912), (1, 0.01206706), (2, 0.012123923), (3, 0.9638871)]"
15,15,2.0,0.9584474,"[(0, 0.013477851), (1, 0.013796924), (2, 0.9584474), (3, 0.014277866)]"
16,16,1.0,0.95501363,"[(0, 0.0147072235), (1, 0.95501363), (2, 0.014823965), (3, 0.015455226)]"
17,17,3.0,0.6475915,"[(0, 0.016748868), (1, 0.109886885), (2, 0.22577274), (3, 0.6475915)]"
18,18,1.0,0.5508122,"[(0, 0.03659113), (1, 0.5508122), (2, 0.039284848), (3, 0.37331182)]"
19,19,0.0,0.6015667,"[(0, 0.6015667), (1, 0.018532488), (2, 0.018403037), (3, 0.36149782)]"
20,20,3.0,0.88922626,"[(0, 0.035965405), (1, 0.03861394), (2, 0.03619441), (3, 0.88922626)]"
21,21,2.0,0.91410565,"[(0, 0.028219325), (1, 0.029238125), (2, 0.91410565), (3, 0.028436951)]"
22,22,2.0,0.9494329,"[(0, 0.016678678), (1, 0.016979007), (2, 0.9494329), (3, 0.016909447)]"
23,23,2.0,0.6657667,"[(0, 0.019604802), (1, 0.019619154), (2, 0.6657667), (3, 0.29500932)]"
24,24,1.0,0.7366015,"[(0, 0.0134324655), (1, 0.7366015), (2, 0.16674443), (3, 0.08322165)]"
25,25,0.0,0.47041562,"[(0, 0.4704156), (1, 0.11881897), (2, 0.023287833), (3, 0.38747758)]"
26,26,3.0,0.83499116,"[(0, 0.020061512), (1, 0.021381557), (2, 0.12356575), (3, 0.83499116)]"
