,Topic1,Topic2,Topic3,Topic4
0,의사,엄마,경찰,치료
1,반티,출산,공개,코로나
2,아버지,시간,정신,의료
3,생각,속옷,확진,요양
4,바지,주사,차림,의원
5,가운,퇴원,서울,시트
6,친구,링거,자신,의료진
7,남자,수액,건강,침대
8,여자,선생,택시,사용
9,잠옷,준비,이날,단추
10,사이즈,침대,얼굴,세탁
11,추천,병동,휠체어,경우
12,유니폼,아이,오후,수술복
13,이야기,여성,센터,가능
14,느낌,간호,소망,관리
15,남편,원피스,발견,치매
16,사복,아기,탈출,필요
17,천안,제왕,표정,직원
18,판매,검진,상태,대구
19,부인,생각,마스크,소재
