,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6
0,의료,사람,사진,간호사,바지,검사
1,가운,코로나,치료,아버지,아기,환복
2,요양,확진,의원,시간,사이즈,후기
3,사용,병실,간호,퇴원,머리,병실
4,수술복,차림,상태,병동,음성,간호사
5,세탁,의료진,다리,선생,센터,출산
6,제작,아이,링거,남자,여성,속옷
7,시트,이야기,아내,의사,전화,단추
8,이송,마음,천안,마지막,판매,제왕
9,관리,이유,사복,식사,필요,주사
10,치매,휠체어,원피스,침대,잠옷,입원실
11,유니폼,아들,허리,투병,골절,절개
12,노인,건강,느낌,건강,아침,수술실
13,소재,발견,부위,복장,자궁,마취
14,하의,남편,응급실,저녁,후기,대기
15,흰색,친구,스타,내시경,붕대,산부인과
16,착용,여자,교통사고,정리,교수,의사
17,시설,표정,통증,주사,오늘,도착
18,부족,의사,어깨,사진,오전,안내
19,원단,기사,병실,항암,대회,시간
