,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
3769,3769,1.0,0.54228485,"[(0, 0.041826326), (1, 0.54228485), (2, 0.041779846), (3, 0.37410894)]"
3770,3770,1.0,0.9024956,"[(0, 0.031588428), (1, 0.9024957), (2, 0.034115184), (3, 0.03180074)]"
3771,3771,1.0,0.71949106,"[(0, 0.035881884), (1, 0.71949106), (2, 0.03606547), (3, 0.20856152)]"
3772,3772,1.0,0.5633422,"[(0, 0.027779298), (1, 0.5633422), (2, 0.028493537), (3, 0.380385)]"
3773,3773,2.0,0.8046102,"[(0, 0.064727135), (1, 0.068159685), (2, 0.8046102), (3, 0.06250302)]"
3774,3774,1.0,0.8497073,"[(0, 0.050002594), (1, 0.8497073), (2, 0.050283954), (3, 0.050006106)]"
3775,3775,3.0,0.54195863,"[(0, 0.13788988), (1, 0.29722798), (2, 0.0229235), (3, 0.54195863)]"
3776,3776,1.0,0.7828733,"[(0, 0.12887438), (1, 0.7828733), (2, 0.013941871), (3, 0.0743105)]"
3777,3777,1.0,0.63844275,"[(0, 0.03159524), (1, 0.63844275), (2, 0.03125109), (3, 0.29871097)]"
3778,3778,1.0,0.8551852,"[(0, 0.017994229), (1, 0.8551852), (2, 0.10894176), (3, 0.017878793)]"
3779,3779,2.0,0.42678735,"[(0, 0.01718334), (1, 0.40257773), (2, 0.42678735), (3, 0.15345164)]"
3780,3780,0.0,0.67922294,"[(0, 0.67922294), (1, 0.046496253), (2, 0.23002464), (3, 0.04425616)]"
3781,3781,1.0,0.88686687,"[(0, 0.08600374), (1, 0.88686687), (2, 0.012736917), (3, 0.01439243)]"
3782,3782,0.0,0.59000474,"[(0, 0.59000474), (1, 0.029203335), (2, 0.3498006), (3, 0.030991366)]"
3783,3783,1.0,0.9045167,"[(0, 0.03251697), (1, 0.9045167), (2, 0.031373996), (3, 0.031592343)]"
3784,3784,1.0,0.9463025,"[(0, 0.017904785), (1, 0.9463025), (2, 0.017899066), (3, 0.017893672)]"
3785,3785,3.0,0.55752563,"[(0, 0.06250781), (1, 0.06737161), (2, 0.312595), (3, 0.55752563)]"
3786,3786,2.0,0.7467911,"[(0, 0.084193535), (1, 0.08509004), (2, 0.7467911), (3, 0.08392534)]"
3787,3787,1.0,0.7687675,"[(0, 0.028059386), (1, 0.7687675), (2, 0.029410187), (3, 0.17376298)]"
3788,3788,0.0,0.6667361,"[(0, 0.6667361), (1, 0.18194644), (2, 0.13340952), (3, 0.01790794)]"
3789,3789,1.0,0.94972557,"[(0, 0.016685564), (1, 0.94972557), (2, 0.016752167), (3, 0.016836649)]"
3790,3790,1.0,0.9304611,"[(0, 0.023509486), (1, 0.9304611), (2, 0.022883946), (3, 0.023145495)]"
3791,3791,1.0,0.8892034,"[(0, 0.037475646), (1, 0.88920337), (2, 0.037353385), (3, 0.03596761)]"
3792,3792,3.0,0.44652712,"[(0, 0.18348868), (1, 0.15708643), (2, 0.21289776), (3, 0.44652712)]"
3793,3793,1.0,0.4264513,"[(0, 0.051017106), (1, 0.4264513), (2, 0.34552303), (3, 0.17700855)]"
3794,3794,3.0,0.5231097,"[(0, 0.05097879), (1, 0.3755663), (2, 0.05034526), (3, 0.5231097)]"
