,Topic1,Topic2,Topic3,Topic4
0,환복,사람,사람,사진
1,후기,사랑,여자,모습
2,출산,아버지,남자,엄마
3,검사,차림,병실,병실
4,간호사,의사,의료,치료
5,속옷,휠체어,침대,의사
6,검진,이야기,바지,퇴원
7,아기,회장,마취,얼굴
8,추천,감사,패션,링거
9,원피스,모습,학교,생각
10,시간,영화,생활,여행
11,바지,그림,시트,아이
12,산부인과,어머니,식사,아들
13,내복,마지막,생각,환복
14,제왕,요양,병동,머리
15,절개,탈출,맛집,공개
16,자연,가족,이름,시작
17,건강,단추,시간,아빠
18,의사,동생,기억,검사
19,분만,담배,다리,사용
