,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
4856,4856,1.0,0.6094321,"[(0, 0.033511024), (1, 0.6094321), (2, 0.033454485), (3, 0.03366964), (4, 0.25641066), (5, 0.033522077)]"
4857,4857,3.0,0.45331118,"[(0, 0.12925564), (1, 0.020893438), (2, 0.2296914), (3, 0.45331118), (4, 0.14580704), (5, 0.021041311)]"
4858,4858,3.0,0.5509842,"[(0, 0.023855332), (1, 0.023855595), (2, 0.3533694), (3, 0.5509842), (4, 0.023809576), (5, 0.024125947)]"
4859,4859,1.0,0.45411697,"[(0, 0.20846099), (1, 0.45411697), (2, 0.01861412), (3, 0.16519704), (4, 0.018759958), (5, 0.13485096)]"
4860,4860,5.0,0.7934247,"[(0, 0.018525038), (1, 0.018560134), (2, 0.018748075), (3, 0.13190946), (4, 0.018832607), (5, 0.7934247)]"
4861,4861,5.0,0.48075688,"[(0, 0.1295681), (1, 0.018736161), (2, 0.018605523), (3, 0.018571816), (4, 0.33376148), (5, 0.4807569)]"
4862,4862,1.0,0.557813,"[(0, 0.17912088), (1, 0.557813), (2, 0.20696954), (3, 0.018683502), (4, 0.01880845), (5, 0.01860463)]"
4863,4863,1.0,0.6693516,"[(0, 0.018609375), (1, 0.6693516), (2, 0.25629205), (3, 0.018637229), (4, 0.018564764), (5, 0.018544989)]"
4864,4864,1.0,0.4170447,"[(0, 0.20188339), (1, 0.4170447), (2, 0.01294244), (3, 0.14150533), (4, 0.01286199), (5, 0.21376212)]"
4865,4865,1.0,0.7212581,"[(0, 0.055555582), (1, 0.7212581), (2, 0.055639654), (3, 0.056230497), (4, 0.055562932), (5, 0.05575323)]"
4866,4866,4.0,0.72821224,"[(0, 0.023841044), (1, 0.023821095), (2, 0.023834776), (3, 0.023830796), (4, 0.72821224), (5, 0.17646006)]"
4867,4867,4.0,0.58184564,"[(0, 0.020833356), (1, 0.021034416), (2, 0.33438206), (3, 0.02094222), (4, 0.58184564), (5, 0.02096237)]"
4868,4868,1.0,0.79072607,"[(0, 0.04166672), (1, 0.79072607), (2, 0.04208697), (3, 0.04200275), (4, 0.04168169), (5, 0.041835845)]"
4869,4869,3.0,0.59817183,"[(0, 0.016744163), (1, 0.20680566), (2, 0.016713094), (3, 0.59817183), (4, 0.016689938), (5, 0.1448753)]"
4870,4870,3.0,0.5183777,"[(0, 0.027810581), (1, 0.20373608), (2, 0.19438428), (3, 0.5183777), (4, 0.027913542), (5, 0.027777815)]"
4871,4871,5.0,0.7910381,"[(0, 0.041666694), (1, 0.041827492), (2, 0.042036187), (3, 0.041695416), (4, 0.04173613), (5, 0.7910381)]"
